Country Name,Country Code,Indicator Name,Indicator Code,date,Value, Annual Growth Rate (%)
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1960,102.08 ,
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1961,98.54 ,-3.47
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1962,103.80 ,5.34
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1963,106.54 ,2.64
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1964,110.39 ,3.62
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1965,105.97 ,-4.01
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1966,118.80 ,12.11
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1967,120.83 ,1.71
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1968,127.50 ,5.53
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1969,132.10 ,3.61
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1970,139.76 ,5.79
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1971,149.46 ,6.95
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1972,171.01 ,14.41
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1973,196.62 ,14.98
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1974,224.93 ,14.4
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1975,238.75 ,6.14
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1976,246.38 ,3.2
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1977,308.31 ,25.14
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1978,351.53 ,14.02
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1979,399.11 ,13.53
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1980,448.83 ,12.46
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1981,408.35 ,-9.02
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1982,369.39 ,-9.54
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1983,330.90 ,-10.42
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1984,330.15 ,-0.23
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1985,315.39 ,-4.47
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1986,359.07 ,13.85
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1987,381.71 ,6.3
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1988,386.36 ,1.22
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1989,369.98 ,-4.24
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1990,370.10 ,0.03
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1991,340.81 ,-7.92
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1992,332.95 ,-2.31
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1993,226.52 ,-31.97
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1994,273.52 ,20.75
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1995,336.57 ,23.05
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1996,436.20 ,29.6
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1997,462.40 ,6.01
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1998,483.71 ,4.61
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/1999,430.37 ,-11.03
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2000,411.82 ,-4.31
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2001,408.36 ,-0.84
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2002,401.09 ,-1.78
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2003,441.39 ,10.05
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2004,462.62 ,4.81
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2005,522.78 ,13
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2006,699.40 ,33.79
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2007,840.19 ,20.13
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2008,916.00 ,9.02
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2009,"1,049.12 ",14.53
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2010,"1,093.64 ",4.24
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2011,"1,099.32 ",0.52
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2012,"1,289.78 ",17.33
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2013,"1,376.83 ",6.75
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2014,"1,489.92 ",8.21
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2015,"1,496.65 ",0.45
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2016,"1,562.08 ",4.37
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2017,"1,675.99 ",7.29
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2018,"1,845.78 ",10.13
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2019,"1,970.08 ",6.73
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2020,"1,936.25 ",-1.72
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2021,"2,069.66 ",6.89
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12/31/2022,"2,099.30 ",1.43
